,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29
Snohomish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.0,2.2857142857142856,2.2857142857142856,3.4285714285714284,4.857142857142857,6.0,8.0,8.714285714285714,12.857142857142858,16.285714285714285,18.285714285714285,19.857142857142858,22.0,29.142857142857142,34.285714285714285,34.285714285714285,36.0,41.714285714285715,43.57142857142857,45.57142857142857,49.714285714285715,46.285714285714285,61.57142857142857,75.57142857142857,66.57142857142857,83.85714285714286,86.85714285714286,87.85714285714286,95.85714285714286,85.28571428571429,76.57142857142857,84.28571428571429,70.14285714285714,68.0,61.42857142857143,55.714285714285715,46.57142857142857,50.285714285714285,47.42857142857143,44.0,43.57142857142857,41.57142857142857,41.857142857142854,47.142857142857146,36.285714285714285,36.857142857142854,39.42857142857143,36.42857142857143,30.428571428571427,31.571428571428573,29.714285714285715,30.285714285714285,29.285714285714285,24.142857142857142,27.571428571428573,29.714285714285715,29.714285714285715,29.571428571428573,28.428571428571427,27.857142857142858,60.857142857142854,61.285714285714285,62.42857142857143,59.142857142857146,63.285714285714285,64.42857142857143,60.714285714285715,27.857142857142858,26.571428571428573,27.285714285714285,25.571428571428573,22.714285714285715,21.142857142857142,22.0,21.428571428571427,22.142857142857142,22.142857142857142,21.857142857142858,21.428571428571427,21.0,20.142857142857142,22.571428571428573,17.714285714285715,20.571428571428573,22.285714285714285,17.857142857142858,18.428571428571427,18.428571428571427,15.571428571428571,18.571428571428573,16.428571428571427,15.571428571428571,17.0,18.571428571428573,18.714285714285715,17.428571428571427,17.857142857142858,16.0,15.0,14.142857142857142,13.571428571428571,13.428571428571429,13.571428571428571,13.0,12.857142857142858,15.571428571428571,16.428571428571427,16.0,16.0,16.0,21.714285714285715,28.428571428571427,27.428571428571427,29.428571428571427,30.714285714285715,30.714285714285715,32.142857142857146,35.57142857142857
Cook,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,1.0,1.8571428571428572,2.5714285714285716,3.142857142857143,4.857142857142857,6.428571428571429,9.857142857142858,9.285714285714286,12.857142857142858,22.428571428571427,36.0,53.142857142857146,71.0,104.14285714285714,120.85714285714286,155.28571428571428,177.0,232.14285714285714,261.0,295.0,377.14285714285717,400.7142857142857,471.7142857142857,533.4285714285714,524.4285714285714,604.8571428571429,689.4285714285714,656.8571428571429,714.4285714285714,716.1428571428571,766.8571428571429,834.2857142857143,857.0,854.0,934.5714285714286,963.7142857142857,973.4285714285714,969.4285714285714,953.1428571428571,988.4285714285714,996.8571428571429,955.2857142857143,946.7142857142857,979.7142857142857,1034.2857142857142,1103.4285714285713,1175.0,1237.5714285714287,1328.857142857143,1407.4285714285713,1466.857142857143,1476.2857142857142,1528.857142857143,1578.857142857143,1595.5714285714287,1678.5714285714287,1680.2857142857142,1682.0,1687.0,1689.7142857142858,1652.5714285714287,1635.2857142857142,1475.857142857143,1380.857142857143,1463.857142857143,1388.142857142857,1445.142857142857,1381.2857142857142,1362.5714285714287,1366.142857142857,1472.7142857142858,1317.2857142857142,1401.0,1299.142857142857,1292.0,1315.0,1398.857142857143,1343.857142857143,1304.0,1186.857142857143,1107.857142857143,1045.2857142857142,957.4285714285714,845.0,771.1428571428571,836.2857142857143,811.8571428571429,772.4285714285714,725.4285714285714,686.4285714285714,643.1428571428571,617.7142857142857,514.0,483.0,466.42857142857144,415.0,-11703.285714285714,-11775.142857142857,-11831.142857142857,-11895.714285714286,-11940.57142857143,-11996.714285714286,-12035.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.42857142857142855,-0.2857142857142857,0.0,0.42857142857142855,0.42857142857142855,-0.5714285714285714,-0.5714285714285714,-0.7142857142857143,0.14285714285714285,0.0,-0.42857142857142855,-0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,-0.14285714285714285,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.7142857142857143,1.4285714285714286,1.1428571428571428,1.1428571428571428,1.2857142857142858,1.1428571428571428,1.4285714285714286,1.2857142857142858,0.7142857142857143,1.0,1.0,1.0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.2857142857142858,2.0,1.7142857142857142,1.5714285714285714,1.8571428571428572,2.0,2.0,1.7142857142857142,1.0,1.0,1.2857142857142858,1.1428571428571428,1.0,1.2857142857142858,1.0,1.1428571428571428,1.2857142857142858,1.4285714285714286,1.8571428571428572,2.7142857142857144,2.7142857142857144,3.2857142857142856,3.142857142857143,3.4285714285714284,3.4285714285714284,3.0,2.7142857142857144,3.142857142857143,2.7142857142857144,3.4285714285714284,3.4285714285714284,3.142857142857143,3.5714285714285716,3.4285714285714284,2.857142857142857,3.2857142857142856,3.142857142857143,2.2857142857142856,2.142857142857143,1.5714285714285714,1.1428571428571428,1.1428571428571428,0.5714285714285714,0.7142857142857143,1.0,1.8571428571428572,2.0,2.142857142857143,2.2857142857142856,2.4285714285714284,1.7142857142857142,1.8571428571428572,1.0,1.0,1.1428571428571428,0.8571428571428571,0.8571428571428571,1.0,1.1428571428571428,1.1428571428571428,1.1428571428571428
Maricopa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.8571428571428571,1.0,1.1428571428571428,2.7142857142857144,4.428571428571429,6.428571428571429,11.0,18.714285714285715,27.142857142857142,34.285714285714285,39.57142857142857,52.142857142857146,57.857142857142854,66.42857142857143,78.71428571428571,84.57142857142857,88.57142857142857,94.57142857142857,92.85714285714286,102.42857142857143,111.42857142857143,106.14285714285714,100.57142857142857,98.28571428571429,104.0,98.85714285714286,102.85714285714286,90.57142857142857,83.85714285714286,80.14285714285714,83.85714285714286,82.14285714285714,94.71428571428571,85.71428571428571,89.85714285714286,88.0,97.42857142857143,100.0,100.85714285714286,101.71428571428571,106.14285714285714,110.0,117.28571428571429,120.0,125.28571428571429,143.14285714285714,148.57142857142858,169.57142857142858,175.14285714285714,184.85714285714286,193.0,202.14285714285714,174.85714285714286,195.57142857142858,194.0,177.42857142857142,176.71428571428572,184.28571428571428,171.85714285714286,200.42857142857142,185.14285714285714,188.14285714285714,201.85714285714286,193.14285714285714,180.42857142857142,186.14285714285714,176.57142857142858,161.28571428571428,154.42857142857142,148.14285714285714,148.42857142857142,138.0,140.42857142857142,151.57142857142858,166.0,192.14285714285714,219.71428571428572,222.57142857142858,298.2857142857143,348.7142857142857,333.2857142857143,425.57142857142856,462.7142857142857,526.1428571428571,580.8571428571429,548.2857142857143,602.0,702.7142857142857,704.5714285714286,718.5714285714286,742.0,767.0,914.4285714285714,998.5714285714286,1106.0,1282.2857142857142,1501.7142857142858,1634.857142857143,1754.0,1872.5714285714287,1817.2857142857142,1892.142857142857,1946.7142857142858,2010.142857142857,2118.0,1932.5714285714287
Los Angeles,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.4285714285714286,1.7142857142857142,1.8571428571428572,1.8571428571428572,2.5714285714285716,2.7142857142857144,3.0,3.0,3.857142857142857,5.571428571428571,7.857142857142857,10.714285714285714,17.714285714285715,23.142857142857142,28.428571428571427,36.0,42.57142857142857,50.285714285714285,63.142857142857146,74.0,87.0,140.71428571428572,167.57142857142858,207.57142857142858,245.0,276.85714285714283,335.57142857142856,388.42857142857144,404.14285714285717,443.0,496.14285714285717,543.4285714285714,555.1428571428571,557.0,573.1428571428571,558.5714285714286,552.0,513.7142857142857,464.57142857142856,437.14285714285717,448.14285714285717,423.7142857142857,414.14285714285717,423.0,449.7142857142857,449.85714285714283,628.0,727.5714285714286,848.4285714285714,950.5714285714286,1022.0,1012.2857142857143,1026.7142857142858,943.0,833.7142857142857,864.2857142857143,810.5714285714286,810.0,826.7142857142857,876.2857142857143,828.5714285714286,977.0,879.8571428571429,892.1428571428571,868.7142857142857,900.4285714285714,859.2857142857143,863.0,766.4285714285714,826.2857142857143,843.1428571428571,851.8571428571429,872.2857142857143,899.5714285714286,884.7142857142857,913.2857142857143,918.4285714285714,958.2857142857143,970.4285714285714,964.5714285714286,1002.0,1081.0,1178.4285714285713,1120.4285714285713,1105.2857142857142,1215.7142857142858,1370.857142857143,1429.7142857142858,1421.4285714285713,1328.0,1362.0,1410.857142857143,1354.7142857142858,1241.0,1264.0,1239.4285714285713,1243.4285714285713,1261.4285714285713,1317.857142857143,1347.2857142857142,1383.5714285714287,1310.5714285714287,1306.7142857142858,1323.142857142857,1446.4285714285713,1336.0,1304.7142857142858,1373.2857142857142,1482.7142857142858,1735.857142857143,1882.5714285714287,1757.2857142857142,1891.4285714285713,1946.142857142857,1962.142857142857,2071.0,2118.5714285714284
Santa Clara,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.0,1.2857142857142858,1.7142857142857142,2.5714285714285716,3.0,4.0,4.285714285714286,4.857142857142857,4.857142857142857,4.857142857142857,6.571428571428571,7.857142857142857,8.428571428571429,11.0,13.571428571428571,15.714285714285714,18.142857142857142,17.571428571428573,16.714285714285715,24.571428571428573,27.0,26.142857142857142,31.428571428571427,40.57142857142857,50.42857142857143,54.0,46.857142857142854,49.0,75.28571428571429,73.57142857142857,71.0,68.14285714285714,74.28571428571429,79.57142857142857,80.14285714285714,53.714285714285715,56.42857142857143,60.57142857142857,60.42857142857143,55.714285714285715,59.714285714285715,59.142857142857146,63.142857142857146,54.42857142857143,59.0,55.857142857142854,55.142857142857146,43.42857142857143,35.57142857142857,36.57142857142857,40.0,24.142857142857142,22.0,21.142857142857142,24.285714285714285,30.571428571428573,26.142857142857142,25.142857142857142,24.571428571428573,25.142857142857142,23.0,23.428571428571427,21.0,19.857142857142858,19.0,19.142857142857142,16.857142857142858,15.857142857142858,14.714285714285714,15.428571428571429,13.857142857142858,15.571428571428571,13.714285714285714,15.714285714285714,16.142857142857142,15.857142857142858,16.285714285714285,16.0,17.0,18.285714285714285,16.714285714285715,20.428571428571427,21.857142857142858,23.428571428571427,28.428571428571427,27.428571428571427,28.0,27.571428571428573,23.0,22.857142857142858,22.714285714285715,21.857142857142858,20.571428571428573,20.571428571428573,21.285714285714285,26.428571428571427,27.0,23.714285714285715,24.0,28.285714285714285,28.571428571428573,30.428571428571427,32.142857142857146,33.857142857142854,36.42857142857143,36.714285714285715,33.857142857142854,36.57142857142857,42.857142857142854,40.142857142857146,43.0,50.0,53.714285714285715,67.57142857142857,77.71428571428571,75.0,83.71428571428571,75.14285714285714,87.85714285714286,79.42857142857143
Suffolk,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.7142857142857143,2.857142857142857,3.5714285714285716,5.285714285714286,6.571428571428571,8.857142857142858,11.857142857142858,15.714285714285714,22.428571428571427,48.857142857142854,88.71428571428571,141.0,199.28571428571428,256.57142857142856,306.2857142857143,365.2857142857143,430.57142857142856,496.57142857142856,569.8571428571429,619.0,690.4285714285714,763.5714285714286,858.7142857142857,967.0,1170.0,1130.0,1240.2857142857142,1264.0,1177.0,1238.142857142857,1219.7142857142858,1079.2857142857142,1126.142857142857,1024.2857142857142,985.8571428571429,1062.0,967.0,906.1428571428571,894.2857142857143,867.4285714285714,859.8571428571429,813.1428571428571,796.5714285714286,769.2857142857143,795.8571428571429,746.4285714285714,738.7142857142857,686.8571428571429,652.8571428571429,630.1428571428571,585.2857142857143,490.14285714285717,444.2857142857143,399.42857142857144,372.42857142857144,364.42857142857144,325.42857142857144,318.2857142857143,312.2857142857143,283.2857142857143,263.85714285714283,262.0,255.28571428571428,251.71428571428572,236.0,213.71428571428572,211.57142857142858,202.14285714285714,187.57142857142858,180.71428571428572,158.0,144.14285714285714,136.14285714285714,122.85714285714286,121.0,123.71428571428571,124.57142857142857,121.0,115.14285714285714,110.42857142857143,104.28571428571429,97.0,87.85714285714286,111.57142857142857,114.85714285714286,113.42857142857143,113.42857142857143,106.57142857142857,98.0,96.0,63.714285714285715,57.42857142857143,51.285714285714285,45.714285714285715,48.142857142857146,47.142857142857146,45.0,44.57142857142857,43.714285714285715,42.57142857142857,43.57142857142857,41.857142857142854,44.714285714285715,45.42857142857143,45.42857142857143,47.285714285714285,48.714285714285715,49.142857142857146,49.285714285714285,47.714285714285715,47.0
San Francisco,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,1.1428571428571428,1.1428571428571428,1.8571428571428572,2.0,2.0,2.2857142857142856,3.0,2.857142857142857,3.7142857142857144,3.857142857142857,4.142857142857143,4.857142857142857,7.428571428571429,7.571428571428571,7.571428571428571,10.571428571428571,13.0,15.142857142857142,18.571428571428573,21.857142857142858,29.0,32.0,33.142857142857146,34.285714285714285,35.42857142857143,36.57142857142857,32.0,31.142857142857142,31.571428571428573,32.57142857142857,30.285714285714285,31.714285714285715,34.57142857142857,39.57142857142857,42.857142857142854,47.285714285714285,43.42857142857143,53.42857142857143,52.57142857142857,48.142857142857146,42.142857142857146,37.285714285714285,40.0,40.714285714285715,37.0,34.857142857142854,31.428571428571427,40.42857142857143,40.285714285714285,31.0,35.857142857142854,29.714285714285715,33.857142857142854,36.285714285714285,28.142857142857142,26.142857142857142,27.857142857142858,31.571428571428573,37.857142857142854,41.285714285714285,41.285714285714285,43.42857142857143,47.142857142857146,48.857142857142854,44.857142857142854,37.857142857142854,31.428571428571427,31.142857142857142,28.714285714285715,25.142857142857142,24.428571428571427,21.571428571428573,25.428571428571427,29.428571428571427,27.428571428571427,27.857142857142858,41.57142857142857,41.142857142857146,39.0,36.285714285714285,30.857142857142858,31.714285714285715,34.0,21.857142857142858,26.0,27.285714285714285,26.285714285714285,26.857142857142858,29.285714285714285,29.571428571428573,32.142857142857146,25.714285714285715,27.0,29.857142857142858,29.428571428571427,28.0,28.0,25.571428571428573,27.714285714285715,25.857142857142858,24.714285714285715,25.428571428571427,24.714285714285715,25.714285714285715,25.714285714285715,21.714285714285715,18.571428571428573,33.285714285714285,35.42857142857143,38.142857142857146,39.57142857142857,49.0,58.57142857142857,64.85714285714286,53.714285714285715
Dane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.7142857142857143,1.2857142857142858,2.4285714285714284,3.0,3.2857142857142856,3.857142857142857,6.142857142857143,7.857142857142857,7.285714285714286,7.571428571428571,9.285714285714286,12.428571428571429,18.0,15.571428571428571,16.857142857142858,17.428571428571427,17.428571428571427,18.142857142857142,16.285714285714285,12.285714285714286,13.571428571428571,12.857142857142858,13.571428571428571,13.571428571428571,12.428571428571429,11.285714285714286,9.857142857142858,10.571428571428571,9.285714285714286,8.857142857142858,7.857142857142857,7.0,6.428571428571429,5.428571428571429,4.428571428571429,3.857142857142857,3.4285714285714284,5.285714285714286,5.0,5.0,6.285714285714286,6.142857142857143,6.285714285714286,6.857142857142857,5.142857142857143,5.428571428571429,5.857142857142857,5.0,4.571428571428571,4.428571428571429,4.142857142857143,3.7142857142857144,3.0,2.7142857142857144,3.5714285714285716,4.571428571428571,5.142857142857143,4.714285714285714,5.714285714285714,6.571428571428571,7.428571428571429,8.857142857142858,8.285714285714286,9.285714285714286,9.142857142857142,9.285714285714286,10.714285714285714,12.0,10.428571428571429,10.571428571428571,9.142857142857142,11.0,11.714285714285714,12.714285714285714,14.714285714285714,17.571428571428573,18.714285714285715,18.857142857142858,17.428571428571427,18.428571428571427,17.142857142857142,15.0,13.0,13.714285714285714,15.857142857142858,17.0,16.0,15.571428571428571,17.428571428571427,18.0,15.571428571428571,16.0,16.0,16.285714285714285,16.714285714285715,15.571428571428571,15.571428571428571,19.428571428571427,20.714285714285715,24.714285714285715,27.0,34.857142857142854,46.857142857142854,58.142857142857146,65.85714285714286,78.42857142857143,87.14285714285714
San Diego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.1428571428571428,1.2857142857142858,5.571428571428571,7.714285714285714,8.428571428571429,11.285714285714286,14.285714285714286,17.428571428571427,21.285714285714285,23.571428571428573,24.857142857142858,25.857142857142858,30.857142857142858,33.714285714285715,40.857142857142854,47.0,44.857142857142854,53.285714285714285,70.28571428571429,78.85714285714286,89.28571428571429,99.28571428571429,103.0,115.28571428571429,114.42857142857143,102.85714285714286,97.28571428571429,94.57142857142857,83.42857142857143,78.85714285714286,68.28571428571429,63.285714285714285,68.0,68.85714285714286,65.57142857142857,66.0,64.57142857142857,66.28571428571429,68.28571428571429,72.0,68.42857142857143,79.42857142857143,95.42857142857143,104.28571428571429,110.71428571428571,116.57142857142857,134.85714285714286,134.42857142857142,140.57142857142858,135.42857142857142,137.42857142857142,135.28571428571428,134.57142857142858,120.71428571428571,135.71428571428572,123.57142857142857,135.85714285714286,133.42857142857142,142.71428571428572,149.28571428571428,143.0,137.0,137.42857142857142,123.0,126.57142857142857,130.0,125.85714285714286,123.57142857142857,123.14285714285714,132.0,130.14285714285714,128.14285714285714,123.57142857142857,121.57142857142857,122.28571428571429,120.42857142857143,112.14285714285714,115.14285714285714,118.0,111.42857142857143,108.14285714285714,113.14285714285714,116.42857142857143,120.0,134.28571428571428,137.14285714285714,142.14285714285714,152.14285714285714,150.71428571428572,148.42857142857142,151.14285714285714,135.71428571428572,138.42857142857142,137.71428571428572,141.57142857142858,143.0,145.28571428571428,156.28571428571428,174.28571428571428,167.14285714285714,193.42857142857142,212.28571428571428,223.42857142857142,253.14285714285714,267.0,293.0,336.14285714285717,362.85714285714283,390.85714285714283
